net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Endinet regio Eindhoven BV,871718518003011971,de Wieken,0000AA,0000AA,VELDHOVEN,11.0,100,100,91,G4,1647,0,0
Endinet regio Eindhoven BV,871718518003011971,Oirschotsebaan,5062TG,5091AB,OISTERWIJK,28.0,100,100,96,G4,1810,0,4
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AC,5091AC,OOST WEST EN MIDDELBEERS,21.0,100,95,67,G4,1605,0,5
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AD,5091AD,OOST WEST EN MIDDELBEERS,14.0,100,100,100,G4,1203,0,0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AE,5091AE,OOST WEST EN MIDDELBEERS,19.0,100,100,74,G4,1784,0,0
Endinet regio Eindhoven BV,871718518003011971,Rozenplein,5091AG,5091AG,OOST WEST EN MIDDELBEERS,10.0,100,100,70,G6,2357,0,0
Endinet regio Eindhoven BV,871718518003011971,Rozenstraat,5091AH,5091AJ,OOST WEST EN MIDDELBEERS,19.0,100,100,84,G4,2147,0,11
Endinet regio Eindhoven BV,871718518003011971,Leliestraat,5091AK,5091AL,OOST WEST EN MIDDELBEERS,26.0,100,96,100,G4,1340,0,8
Endinet regio Eindhoven BV,871718518003011971,Hoenderakkers,5091AM,5091AN,OOST WEST EN MIDDELBEERS,22.0,100,100,100,G4,1369,0,0
Endinet regio Eindhoven BV,871718518003011971,Postelstraat,5091AW,5091AW,OOST WEST EN MIDDELBEERS,15.0,100,100,67,G4,2228,0,7
Endinet regio Eindhoven BV,871718518003011971,Postelplein,5091AX,5091AX,OOST WEST EN MIDDELBEERS,10.0,100,100,60,G4,1701,0,0
Endinet regio Eindhoven BV,871718518003011971,Gaststraat,5091AZ,5091BA,OOST WEST EN MIDDELBEERS,25.0,100,100,96,G4,1586,0,4
Endinet regio Eindhoven BV,871718518003011971,Antoniusstraat,5091BB,5091BB,OOST WEST EN MIDDELBEERS,21.0,100,100,62,G4,1919,0,0
Endinet regio Eindhoven BV,871718518003011971,Andreasstraat,5091BC,5091BC,OW MIDDELBEERS,15.0,100,100,80,G4,2572,0,13
Endinet regio Eindhoven BV,871718518003011971,Andreasstraat,5091BD,5091BD,OOST WEST EN MIDDELBEERS,17.0,100,100,47,G6,3507,0,0
Endinet regio Eindhoven BV,871718518003011971,Kerkstraat,5091BE,5091BE,OOST WEST EN MIDDELBEERS,24.0,100,96,71,G4,2961,0,0
Endinet regio Eindhoven BV,871718518003011971,Industrieweg,5091BG,5091BG,OOST WEST EN MIDDELBEERS,32.0,100,94,47,G6,3433,0,13
