net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Endinet regio Eindhoven BV,871718518003011971,Buikhei,0000AA,0000AA,VELDHOVEN,10,100.0,100.0,,G4,2709.9,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Stapakker,0000AA,5091AA,OIRSCHOT,13,100.0,100.0,,G4,2123.08,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AB,5091AB,OOST WEST EN MIDDELBEERS,19,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AC,5091AC,OOST WEST EN MIDDELBEERS,14,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AC,5091AD,OOST WEST EN MIDDELBEERS,21,100.0,100.0,,G6,913.95,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AE,5091AE,OOST WEST EN MIDDELBEERS,14,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AE,5091AG,OOST WEST EN MIDDELBEERS,15,100.0,100.0,,G6,1820.6,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Rozenstraat,5091AH,5091AJ,OOST WEST EN MIDDELBEERS,19,100.0,100.0,,G4,1863.05,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Leliestraat,5091AK,5091AL,OOST WEST EN MIDDELBEERS,26,100.0,100.0,,G4,1083.04,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Hoenderakkers,5091AM,5091AN,OOST WEST EN MIDDELBEERS,22,100.0,100.0,,G4,974.27,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Postelstraat,5091AW,5091AW,OOST WEST EN MIDDELBEERS,11,100.0,100.0,,G16,1822.09,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Postelstraat,5091AW,5091AX,OOST WEST EN MIDDELBEERS,10,100.0,100.0,,G6,1294.2,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Postelplein,5091AX,5091AZ,OOST WEST EN MIDDELBEERS,11,100.0,100.0,,G6,1131.09,0.0,0.0
