net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Endinet regio Eindhoven BV,871718518003011971,Buikhei,0000AA,0000AA,VELDHOVEN,10,100.0,100.0,,G4,2712.7,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Stapakker,0000AA,5091AA,OIRSCHOT,13,100.0,100.0,,G4,1893.77,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AB,5091AB,OOST WEST EN MIDDELBEERS,19,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AC,5091AC,OOST WEST EN MIDDELBEERS,14,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AC,5091AD,OOST WEST EN MIDDELBEERS,21,100.0,100.0,,G6,811.43,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AE,5091AE,OOST WEST EN MIDDELBEERS,14,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Margrietstraat,5091AE,5091AG,OOST WEST EN MIDDELBEERS,15,100.0,100.0,,G6,1618.53,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Rozenstraat,5091AH,5091AJ,OOST WEST EN MIDDELBEERS,19,100.0,100.0,,G4,1718.95,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Leliestraat,5091AK,5091AL,OOST WEST EN MIDDELBEERS,26,100.0,100.0,,G4,950.62,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Hoenderakkers,5091AM,5091AN,OOST WEST EN MIDDELBEERS,22,100.0,100.0,,G4,975.82,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Postelstraat,5091AW,5091AW,OOST WEST EN MIDDELBEERS,11,100.0,100.0,,G16,1684.55,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Postelstraat,5091AW,5091AX,OOST WEST EN MIDDELBEERS,10,100.0,100.0,,G6,978.9,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Postelplein,5091AX,5091AZ,OOST WEST EN MIDDELBEERS,11,100.0,100.0,,G6,1058.55,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Antoniusstraat,5091BA,5091BA,OOST WEST EN MIDDELBEERS,17,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Antoniusstraat,5091BA,5091BB,OOST WEST EN MIDDELBEERS,14,100.0,100.0,,G6,1707.79,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Antoniusstraat,5091BB,5091BC,OOST WEST EN MIDDELBEERS,20,100.0,100.0,,G6,1302.2,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Andreasstraat,5091BC,5091BD,OOST WEST EN MIDDELBEERS,12,100.0,100.0,,G6,3321.5,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Andreasstraat,5091BD,5091BE,OOST WEST EN MIDDELBEERS,11,100.0,90.91,,G6,710.45,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Kerkstraat,5091BE,5091BE,OOST WEST EN MIDDELBEERS,16,100.0,100.0,,G25,2259.19,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Kerkstraat,5091BE,5091BG,OOST WEST EN MIDDELBEERS,10,100.0,90.0,,G6,2584.97,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Industrieweg,5091BG,5091BG,OOST WEST EN MIDDELBEERS,12,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Industrieweg,5091BG,5091BG,OOST WEST EN MIDDELBEERS,15,100.0,100.0,,G6,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Hertog Janstraat,5091BH,5091BJ,OOST WEST EN MIDDELBEERS,32,100.0,100.0,,G25,1790.13,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Hertog Janstraat,5091BJ,5091BK,OOST WEST EN MIDDELBEERS,29,100.0,100.0,,G6,1562.17,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Oranjestraat,5091BK,5091BL,OOST WEST EN MIDDELBEERS,14,100.0,92.86,,G6,1544.14,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Oranjestraat,5091BL,5091BM,OOST WEST EN MIDDELBEERS,16,100.0,100.0,,G6,2059.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,'t Ven,5091BN,5091BN,OOST WEST EN MIDDELBEERS,17,100.0,100.0,,G16,1715.88,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,'t Ven,5091BN,5091BP,OOST WEST EN MIDDELBEERS,11,100.0,90.91,,G6,2585.27,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,'t Ven,5091BP,5091BR,OOST WEST EN MIDDELBEERS,22,100.0,100.0,,G6,941.64,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Schravenstraat,5091BR,5091BS,OOST WEST EN MIDDELBEERS,20,100.0,100.0,,G6,1640.65,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Steenfortseweg,5091BS,5091BT,OOST WEST EN MIDDELBEERS,18,100.0,100.0,,G6,1629.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Kosterstraat,5091BV,5091BW,OOST WEST EN MIDDELBEERS,10,100.0,100.0,,G4,1443.6,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,De Kuile,5091BW,5091BX,OOST WEST EN MIDDELBEERS,15,100.0,100.0,,G4,855.53,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,De Venne,5091BX,5091CA,OOST WEST EN MIDDELBEERS,20,100.0,100.0,,G6,2109.95,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Doornboomstraat,5091CA,5091CB,OOST WEST EN MIDDELBEERS,40,100.0,97.5,,G6,1625.11,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Doornboomstraat,5091CB,5091CC,OOST WEST EN MIDDELBEERS,15,100.0,93.33,,G6,4449.33,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Willibrordstraat,5091CC,5091CD,OOST WEST EN MIDDELBEERS,13,100.0,100.0,,G6,2467.77,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Willibrordstraat,5091CD,5091CE,OOST WEST EN MIDDELBEERS,17,100.0,100.0,,G6,1492.12,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Hoogdijk,5091CE,5091CG,OOST WEST EN MIDDELBEERS,20,100.0,100.0,,G6,1264.2,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Hoogdijk,5091CG,5091CH,OOST WEST EN MIDDELBEERS,28,100.0,100.0,,G6,2594.89,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Hoogdijk,5091CH,5091CJ,OOST WEST EN MIDDELBEERS,15,100.0,100.0,,G6,1764.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Vestdijk,5091CJ,5091CK,OOST WEST EN MIDDELBEERS,24,100.0,95.83,,G6,1338.42,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Vestdijk,5091CK,5091CL,OOST WEST EN MIDDELBEERS,37,100.0,100.0,,G6,1760.57,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Vestdijk,5091CL,5091CM,OOST WEST EN MIDDELBEERS,12,100.0,100.0,,G6,2256.83,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Smidsstraat,5091CN,5091CP,OOST WEST EN MIDDELBEERS,28,100.0,92.86,,G4,1379.61,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,St. Annastraat,5091CP,5091CR,OOST WEST EN MIDDELBEERS,23,100.0,100.0,,G6,2079.43,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Ganzeakkers,5091CS,5091CS,OOST WEST EN MIDDELBEERS,21,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Ganzeakkers,5091CS,5091DA,OOST WEST EN MIDDELBEERS,15,100.0,100.0,,G6,2134.73,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Beukenhaag,5091DB,5091DB,OOST WEST EN MIDDELBEERS,16,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Beukenhaag,5091DB,5091DC,OOST WEST EN MIDDELBEERS,14,100.0,100.0,,G6,1328.14,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Ligusterhaag,5091DD,5091DG,OOST WEST EN MIDDELBEERS,31,100.0,100.0,,G4,1340.81,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Rozemarijn,5091DH,5091DH,OOST WEST EN MIDDELBEERS,10,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Rozemarijn,5091DJ,5091DJ,OOST WEST EN MIDDELBEERS,13,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Gentiaan,5091EA,5091EA,OOST WEST EN MIDDELBEERS,11,100.0,100.0,,G4,984.09,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Erica,5091EC,5091EC,OOST WEST EN MIDDELBEERS,16,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Erica,5091EC,5091ED,OOST WEST EN MIDDELBEERS,21,100.0,100.0,,G6,1512.67,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Erica,5091ED,5091EG,OOST WEST EN MIDDELBEERS,17,100.0,100.0,,G6,1508.41,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Zonnedauw,5091EG,5091EJ,OOST WEST EN MIDDELBEERS,11,100.0,100.0,,G6,1806.64,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Veenbes,5091EK,5091EK,OOST WEST EN MIDDELBEERS,15,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Veenbes,5091EK,5091EL,OOST WEST EN MIDDELBEERS,13,100.0,100.0,,G6,1245.92,0.0,0.0
Endinet regio Eindhoven BV,871718518003011971,Sportparklaan,5091EM,5091EM,OOST WEST EN MIDDELBEERS,20,100.0,100.0,,G25,1764.85,0.0,0.0
